_id;missionId;split;promoName;missionLevel;missionType;missionSubType;slotId;timeLimit;spinsLimit;progressTotal;rewardCoins;rewardGems;rewardUP;rewardSlot;reels;lockHealth;creatures;minVersion;graphicType;bet;rewardStatusPoints;params;isHighRoller;customOrder;
;50046731;17;FeaturedSlot_Mummy_Android_17;24;winCoins;0;Mummy;0;0;500000000;1250000;3;1;;[];[];[];1.60.0;2;500000;1;[];0;0;
;50046732;17;FeaturedSlot_Mummy_Android_17;26;doSpins;0;Mummy;0;0;205;2500000;3;1;;[];[];[];1.60.0;0;1000000;1;[];0;0;
;50046733;17;FeaturedSlot_Mummy_Android_17;27;doSpins;0;Mummy;0;0;205;2500000;3;1;;[];[];[];1.60.0;0;1000000;1;[];0;0;
;50046734;17;FeaturedSlot_Mummy_Android_17;28;doSpins;0;Mummy;0;0;205;2500000;3;1;;[];[];[];1.60.0;0;1000000;1;[];0;0;
;50046735;17;FeaturedSlot_Mummy_Android_17;29;doSpins;0;Mummy;0;0;205;2500000;3;1;;[];[];[];1.60.0;0;1000000;1;[];0;0;
;50046736;17;FeaturedSlot_Mummy_Android_17;30;winCoins;0;Mummy;0;0;440000000;1250000;3;1;;[];[];[];1.60.0;0;1000000;1;[];0;0;
;50046737;17;FeaturedSlot_Mummy_Android_17;31;winCoins;0;Mummy;0;0;300000000;1250000;3;1;;[];[];[];1.60.0;0;1000000;1;[];0;0;
;50046738;17;FeaturedSlot_Mummy_Android_17;32;winCoins;0;Mummy;0;0;680000000;1250000;3;1;;[];[];[];1.60.0;2;1000000;1;[];0;0;
;50046739;17;FeaturedSlot_Mummy_Android_17;34;doSpins;0;Mummy;0;0;185;2500000;3;1;;[];[];[];1.60.0;0;1000000;1;[];0;0;
;50046740;17;FeaturedSlot_Mummy_Android_17;35;doSpins;0;Mummy;0;0;185;2500000;3;1;;[];[];[];1.60.0;0;1000000;1;[];0;0;
;50046741;17;FeaturedSlot_Mummy_Android_17;36;doSpins;0;Mummy;0;0;185;2500000;3;1;;[];[];[];1.60.0;0;2000000;1;[];0;0;
;50046742;17;FeaturedSlot_Mummy_Android_17;37;doSpins;0;Mummy;0;0;205;5000000;3;1;;[];[];[];1.60.0;0;2000000;1;[];0;0;
;50046743;17;FeaturedSlot_Mummy_Android_17;38;winCoins;0;Mummy;0;0;220000000;1250000;3;1;;[];[];[];1.60.0;0;2000000;1;[];0;0;
;50046744;17;FeaturedSlot_Mummy_Android_17;39;doSpins;0;Mummy;0;0;205;5000000;3;1;;[];[];[];1.60.0;0;2000000;1;[];0;0;
;50046745;17;FeaturedSlot_Mummy_Android_17;40;winCoins;0;Mummy;0;0;1400000000;1250000;3;1;;[];[];[];1.60.0;0;2000000;1;[];0;0;
;50046746;17;FeaturedSlot_Mummy_Android_17;41;doSpins;0;Mummy;0;0;205;5000000;3;1;;[];[];[];1.60.0;0;2000000;1;[];0;0;
;50046747;17;FeaturedSlot_Mummy_Android_17;42;winCoins;0;Mummy;0;0;600000000;1250000;3;1;;[];[];[];1.60.0;0;2000000;1;[];0;0;
;50046748;17;FeaturedSlot_Mummy_Android_17;43;winCoins;0;Mummy;0;0;530000000;1250000;3;1;;[];[];[];1.60.0;0;2000000;1;[];0;0;
